# Year   Month    mean SSN   std SSN
  1826      03        8.69      3.63
  1826      04        6.57      3.94
  1826      05        8.73      2.77
  1826      06        9.23      3.26
  1826      07       11.17      3.33
  1826      08        9.16      4.82
  1826      09        6.21      3.65
  1826      10       10.30      4.06
  1826      11        6.85      5.53
  1826      12        7.60      7.38
  1827      01        6.35      5.40
  1827      02        9.63      4.53
  1827      03       10.93      4.53
  1827      04        9.73      4.01
  1827      05       11.62      3.32
  1827      06       10.19      5.27
  1827      07       10.26      2.77
  1827      08       11.01      3.68
  1827      09       11.32      2.15
  1827      10       10.34      4.88
  1827      11        6.97      6.15
  1827      12        8.62      5.06
  1828      01        6.20      6.63
  1828      02        9.68      6.12
  1828      03        9.78      6.28
  1828      04       11.78      4.40
  1828      05       13.16      5.90
  1828      06       13.55      6.64
  1828      07       11.63      3.13
  1828      08       14.09      2.50
  1828      09       11.36      2.45
  1828      10        9.60      5.55
  1828      11        8.62      6.15
  1828      12        4.73      6.24
  1829      01        4.25      5.86
  1829      02        7.73      5.92
  1829      03       11.38      5.75
  1829      04       15.21      3.81
  1829      05       12.17      4.57
  1829      06       12.61      5.05
  1829      07       13.85      5.30
  1829      08       12.18      5.71
  1829      09        9.79      5.16
  1829      10        8.79      6.05
  1829      11        7.99      7.15
  1829      12        8.24      6.30
  1830      01        5.71      6.68
  1830      02        8.44      7.29
  1830      03        9.26      7.79
  1830      04       14.34      6.39
  1830      05       11.72      4.81
  1830      06       11.63      4.67
  1830      07        8.75      4.70
  1830      08        8.80      5.72
  1830      09       10.02      5.76
  1830      10       11.84      6.52
  1830      11        8.92      7.65
  1830      12        5.60      7.83
  1831      01        6.88      6.60
  1831      02        7.96      6.14
  1831      03       12.45      6.84
  1831      04       10.55      4.48
  1831      05        9.63      3.04
  1831      06        8.01      4.02
  1831      07        9.71      4.40
  1831      08       10.58      4.58
  1831      09        6.95      5.14
  1831      10        7.77      5.62
  1831      11        4.84      5.95
  1831      12        3.54      5.06
  1832      01        2.29      5.00
  1832      02        9.27      5.70
  1832      03        7.78      6.30
  1832      04        7.19      3.62
  1832      05        9.20      3.90
  1832      06        5.81      4.34
  1832      07        4.25      3.66
  1832      08        4.33      2.65
  1832      09        4.03      2.63
  1832      10        5.66      3.71
  1832      11        3.06      3.81
  1832      12        3.91      5.06
  1833      01        2.91      3.87
  1833      02        3.85      4.09
  1833      03        2.71      3.68
  1833      04        2.42      1.95
  1833      05        4.78      3.06
  1833      06        2.29      1.07
  1833      07        3.28      2.77
  1833      08        3.38      2.45
  1833      09        2.03      3.75
  1833      10        3.62      2.83
  1833      11        2.78      2.63
  1833      12        2.56      3.31
  1834      01        0.54      2.45
  1834      02        4.31      4.12
  1834      03        2.13      2.50
  1834      04        1.83      1.76
  1834      05        4.21      2.62
  1834      06        3.82      2.61
  1834      07        2.75      3.26
  1834      08        2.84      2.16
  1834      09        3.36      3.35
  1834      10        4.39      4.96
  1834      11        3.46      5.46
  1834      12        3.76      5.60
  1835      01        2.52      3.10
  1835      02        3.71      4.67
  1835      03        3.50      4.36
  1835      04        5.38      6.95
  1835      05        6.84      6.04
  1835      06        4.73      5.33
  1835      07        4.64      6.80
  1835      08       -0.13      3.33
  1835      09        5.35      8.43
  1835      10        7.55      8.67
  1835      11        7.56      8.78
  1835      12        2.92      6.77
  1836      01        7.89      8.26
  1836      02        7.56      9.06
  1836      03        5.53      8.47
  1836      04        9.91     10.30
  1836      05       12.50      8.07
  1836      06        8.56      9.70
  1836      07        7.93      9.43
  1836      08        8.24      9.05
  1836      09        5.61      8.43
  1836      10        5.94      9.78
  1836      11        5.85      9.21
  1836      12        2.16      8.21
  1837      01        6.53     10.97
  1837      02        9.43     11.37
  1837      03        6.71      9.73
  1837      04        5.68      9.57
  1837      05        7.75      9.23
  1837      06       11.87     10.63
  1837      07        5.32      9.94
  1837      08        6.04      9.55
  1837      09        9.74      8.30
  1837      10       10.04      9.59
  1837      11        3.13      7.61
  1837      12        3.97      8.64
  1838      01        6.13     10.03
  1838      02        9.05      8.03
  1838      03        6.80      9.99
  1838      04        9.22      9.80
  1838      05       11.99      9.71
  1838      06        9.54      8.34
  1838      07       11.11      8.55
  1838      08        6.43      7.83
  1838      09       10.21      6.85
  1838      10        7.46      8.38
  1838      11        7.13      7.76
  1838      12        5.91      7.88
  1839      01        7.49      9.01
  1839      02        6.49      8.71
  1839      03        6.28      7.85
  1839      04        5.44      6.93
  1839      05        8.15      6.00
  1839      06        7.65      6.28
  1839      07       11.57      7.00
  1839      08        9.75      9.90
  1839      09       10.71      9.93
  1839      10        7.38      8.45
  1839      11        4.18      7.11
  1839      12        2.96      6.43
  1840      01        8.01      7.90
  1840      02        6.60      8.38
  1840      03        7.24      7.31
  1840      04        8.32      7.42
  1840      05        9.22      6.82
  1840      06       10.06      3.96
  1840      07        8.95      6.38
  1840      08        9.27      5.81
  1840      09        8.86      7.33
  1840      10        6.79      6.67
  1840      11        7.56      6.32
  1840      12        8.06      6.11
  1841      01        2.83      4.94
  1841      02        5.84      4.83
  1841      03        5.57      5.10
  1841      04        9.36      3.57
  1841      05       11.49      5.06
  1841      06        9.50      5.41
  1841      07        7.27      4.39
  1841      08        8.93      3.91
  1841      09        8.77      3.79
  1841      10        4.76      4.94
  1841      11        4.32      4.15
  1841      12        5.48      5.85
  1842      01        3.75      4.75
  1842      02        5.17      4.57
  1842      03        5.14      4.66
  1842      04        7.89      3.21
  1842      05        7.40      3.54
  1842      06        7.21      1.75
  1842      07        4.92      3.41
  1842      08        8.10      2.43
  1842      09        6.03      3.21
  1842      10        7.12      5.02
  1842      11        8.27      4.71
  1842      12        2.61      4.07
  1843      01        3.45      3.86
  1843      02        1.02      2.35
  1843      03        3.77      2.99
  1843      04        4.36      2.71
  1843      05        6.44      3.78
  1843      06        4.82      2.55
  1843      07        4.57      2.55
  1843      08        4.99      2.88
  1843      09        3.18      1.97
  1843      10        3.43      2.30
  1843      11        6.10      2.98
  1843      12        1.97      3.92
  1844      01        3.36      3.11
  1844      02        4.04      3.85
  1844      03        3.46      3.68
  1844      04        6.24      3.71
  1844      05        4.05      3.10
  1844      06        2.86      2.11
  1844      07        5.94      4.37
  1844      08        6.29      4.40
  1844      09        3.20      3.05
  1844      10        5.06      4.70
  1844      11        1.93      3.67
  1844      12        4.20      4.52
  1845      01        3.95      4.74
  1845      02        5.98      5.95
  1845      03        7.05      5.74
  1845      04       10.03      5.13
  1845      05        9.09      5.41
  1845      06        6.78      4.92
  1845      07        6.23      5.03
  1845      08        7.33      4.71
  1845      09        6.45      5.36
  1845      10        5.78      5.82
  1845      11        7.18      5.47
  1845      12        4.69      6.75
  1846      01        5.62      5.69
  1846      02        8.20      5.93
  1846      03        8.80      6.64
  1846      04        7.95      7.38
  1846      05        8.00      6.71
  1846      06       11.89      4.63
  1846      07        9.05      4.75
  1846      08        9.61      5.54
  1846      09       12.58      7.85
  1846      10        5.70      6.73
  1846      11        6.14      6.98
  1846      12        3.55      6.69
  1847      01        3.63      6.85
  1847      02        3.09      5.82
  1847      03        8.54      8.25
  1847      04        6.68      5.96
  1847      05       11.60      5.92
  1847      06       12.34      6.19
  1847      07        8.90      5.81
  1847      08       17.04      7.04
  1847      09        9.79     10.95
  1847      10       13.02     11.27
  1847      11       12.31      9.81
  1847      12        7.09      9.09
  1848      01        8.75     10.79
  1848      02        7.16      9.13
  1848      03        8.87      9.02
  1848      04        9.73      8.82
  1848      05       14.18      6.10
  1848      06       14.58      7.96
  1848      07       16.54      7.13
  1848      08       12.35      9.38
  1848      09       10.46      8.37
  1848      10        7.27      9.82
  1848      11        8.74      9.36
  1848      12       15.71      9.18
  1849      01       21.31      1.71
  1849      02       19.23      3.38
  1849      03       16.37      2.45
  1849      04       16.70      3.83
  1849      05       14.65      3.63
  1849      06       14.82      3.25
  1849      07       14.67      2.33
  1849      08       13.65      1.96
  1849      09       16.19      2.05
  1849      10       13.86      3.14
  1849      11       16.42      3.72
  1849      12       16.41      2.70
  1850      01       14.57      2.94
  1850      02       15.74      2.37
  1850      03       15.14      2.12
  1850      04       10.52      3.55
  1850      05       12.91      2.50
  1850      06       13.72      3.08
  1850      07        8.95      5.48
  1850      08       13.04      1.65
  1850      09       15.53      1.72
  1850      10       13.97      2.19
  1850      11       11.77      3.90
  1850      12       12.89      2.24
  1851      01       14.01      4.32
  1851      02       17.24      1.88
  1851      03       13.40      1.21
  1851      04       12.38      2.23
  1851      05       13.00      2.68
  1851      06       13.11      2.41
  1851      07        9.61      2.86
  1851      08       12.53      1.84
  1851      09       13.64      2.18
  1851      10       12.89      3.10
  1851      11       11.72      2.25
  1851      12       13.95      2.57
  1852      01       13.65      2.49
  1852      02       13.13      3.93
  1852      03       12.89      2.32
  1852      04       13.22      3.10
  1852      05       12.21      2.17
  1852      06       10.99      3.18
  1852      07       10.35      3.16
  1852      08       10.34      1.84
  1852      09        9.86      2.72
  1852      10       13.37      3.33
  1852      11       11.79      3.66
  1852      12       10.88      2.90
  1853      01       10.29      2.95
  1853      02       10.73      2.15
  1853      03        9.46      3.94
  1853      04       11.13      3.00
  1853      05        9.65      1.84
  1853      06        9.89      3.71
  1853      07       10.93      2.92
  1853      08       11.71      1.95
  1853      09        9.30      2.59
  1853      10       10.77      1.41
  1853      11        8.87      0.97
  1853      12        7.85      1.71
  1854      01        5.77      2.99
  1854      02        6.22      4.08
  1854      03        6.47      3.93
  1854      04        7.67      3.82
  1854      05        6.83      4.46
  1854      06        7.35      2.03
  1854      07        6.44      3.20
  1854      08        6.05      2.58
  1854      09        6.83      3.93
  1854      10        3.94      4.43
  1854      11        8.54      2.28
  1854      12        6.97      3.32
  1855      01        3.87      4.37
  1855      02        4.53      3.26
  1855      03        6.10      3.29
  1855      04        1.89      2.91
  1855      05        3.01      4.03
  1855      06        2.07      3.18
  1855      07        0.18      0.97
  1855      08        1.28      2.63
  1855      09        0.00      0.00
  1855      10        4.30      2.82
  1855      11        1.84      2.84
  1855      12        1.15      2.66
  1856      01        0.21      1.17
  1856      02        2.15      2.97
  1856      03        0.18      1.01
  1856      04        2.76      3.20
  1856      05        0.00      0.00
  1856      06        1.93      3.25
  1856      07        2.12      2.86
  1856      08        2.68      3.03
  1856      09        1.90      2.92
  1856      10        1.88      2.97
  1856      11        3.23      3.29
  1856      12        2.95      3.33
  1857      01        5.63      2.45
  1857      02        3.17      3.22
  1857      03        2.45      2.88
  1857      04        4.11      3.69
  1857      05        8.57      2.37
  1857      06        5.81      3.22
  1857      07        6.96      3.59
  1857      08        5.67      3.81
  1857      09       10.72      1.82
  1857      10       10.37      2.40
  1857      11        8.93      2.69
  1857      12        9.81      2.70
  1858      01        9.88      3.38
  1858      02        9.59      2.29
  1858      03       12.20      3.60
  1858      04        9.91      2.91
  1858      05       10.35      2.92
  1858      06       10.81      2.70
  1858      07       12.33      2.62
  1858      08       12.09      3.00
  1858      09       14.86      2.41
  1858      10       15.98      1.76
  1858      11       11.79      2.54
  1858      12       13.46      2.65
  1859      01       15.29      1.66
  1859      02       15.49      3.01
  1859      03       15.85      2.25
  1859      04       15.42      2.24
  1859      05       15.80      3.14
  1859      06       15.54      2.28
  1859      07       16.19      3.05
  1859      08       17.31      2.47
  1859      09       17.25      2.10
  1859      10       18.05      1.61
  1859      11       16.47      2.29
  1859      12       15.01      1.99
  1860      01       15.11      2.27
  1860      02       15.57      3.00
  1860      03       16.64      2.18
  1860      04       14.03      1.99
  1860      05       17.34      2.32
  1860      06       17.14      4.35
  1860      07       17.97      3.63
  1860      08       16.75      2.14
  1860      09       16.07      1.95
  1860      10       15.86      1.97
  1860      11       16.57      2.05
  1860      12       16.13      3.57
  1861      01       13.05      2.16
  1861      02       14.31      3.96
  1861      03       16.75      2.82
  1861      04       16.18      4.60
  1861      05       11.98      4.00
  1861      06       15.37      3.81
  1861      07       14.73      1.73
  1861      08       15.01      2.96
  1861      09       14.82      2.54
  1861      10       12.99      4.55
  1861      11       12.02      2.37
  1861      12       14.90      2.46
  1862      01       13.17      1.86
  1862      02       13.28      2.15
  1862      03       10.39      3.69
  1862      04       12.05      2.21
  1862      05       13.35      1.51
  1862      06       15.32      1.72
  1862      07       14.22      2.15
  1862      08       12.98      2.65
  1862      09       13.32      3.17
  1862      10       10.53      2.47
  1862      11       11.61      2.54
  1862      12        9.84      4.16
  1863      01       11.35      2.40
  1863      02       12.38      2.31
  1863      03       13.52      1.87
  1863      04       10.28      2.72
  1863      05       12.11      1.81
  1863      06       10.22      3.06
  1863      07        9.17      2.57
  1863      08       11.21      2.93
  1863      09        7.31      2.67
  1863      10       10.34      1.98
  1863      11        9.84      2.88
  1863      12       10.35      2.77
  1864      01       12.28      3.39
  1864      02       11.25      2.22
  1864      03       13.54      1.64
  1864      04        9.36      3.47
  1864      05       10.44      1.96
  1864      06       12.08      4.17
  1864      07       12.04      2.88
  1864      08       11.30      5.25
  1864      09        8.61      2.21
  1864      10        9.40      2.38
  1864      11       12.50      2.14
  1864      12        8.31      3.23
  1865      01       11.26      3.15
  1865      02        9.97      3.14
  1865      03        9.90      3.48
  1865      04        8.40      3.36
  1865      05        9.24      3.25
  1865      06        9.05      3.38
  1865      07        8.07      3.02
  1865      08        9.83      2.96
  1865      09        6.68      3.91
  1865      10        5.49      4.15
  1865      11        7.48      3.47
  1865      12        4.50      3.87
  1866      01        9.19      1.76
  1866      02        9.71      3.62
  1866      03        7.97      2.12
  1866      04        6.60      2.21
  1866      05        5.26      2.80
  1866      06        6.29      2.42
  1866      07        4.15      2.84
  1866      08        5.32      2.56
  1866      09        3.30      3.02
  1866      10        5.56      2.80
  1866      11        3.44      3.60
  1866      12        0.73      1.90
  1867      01        0.00      0.00
  1867      02        0.37      1.34
  1867      03        3.88      3.16
  1867      04        2.13      3.07
  1867      05        1.34      2.49
  1867      06        0.73      1.86
  1867      07        2.37      2.81
  1867      08        2.13      2.92
  1867      09        3.50      3.85
  1867      10        4.48      4.13
  1867      11        4.19      2.92
  1867      12        7.03      4.54
  1868      01        5.09      2.92
  1868      02        5.45      2.02
  1868      03        7.15      2.21
  1868      04        8.58      1.88
  1868      05        7.15      2.30
  1868      06        7.69      2.52
  1868      07        6.94      3.74
  1868      08        8.27      1.94
  1868      09        9.73      2.18
  1868      10       11.04      2.76
  1868      11       10.98      1.95
  1868      12       11.54      3.05
  1869      01       11.01      2.63
  1869      02       10.91      2.59
  1869      03       10.23      2.51
  1869      04        8.79      3.02
  1869      05       14.35      3.56
  1869      06       14.90      2.42
  1869      07       10.68      3.27
  1869      08       12.50      3.34
  1869      09       12.72      2.80
  1869      10       10.90      2.48
  1869      11       12.67      1.91
  1869      12       14.63      2.30
  1870      01       12.69      1.17
  1870      02       15.31      2.73
  1870      03       18.15      1.48
  1870      04       18.13      2.80
  1870      05       19.14      1.99
  1870      06       16.65      2.73
  1870      07       16.56      2.04
  1870      08       17.48      4.21
  1870      09       16.37      4.22
  1870      10       17.45      1.76
  1870      11       17.31      3.28
  1870      12       16.00      4.14
  1871      01       13.56      1.38
  1871      02       16.04      2.50
  1871      03       17.26      1.80
  1871      04       18.41      1.64
  1871      05       17.45      1.31
  1871      06       13.68      2.39
  1871      07       14.55      2.17
  1871      08       15.02      2.45
  1871      09       12.76      2.46
  1871      10       13.52      2.16
  1871      11       14.73      2.13
  1871      12       13.59      2.33
  1872      01       12.83      1.67
  1872      02       15.69      2.50
  1872      03       13.17      3.53
  1872      04       14.59      1.43
  1872      05       14.81      2.61
  1872      06       15.07      1.96
  1872      07       14.72      2.25
  1872      08       13.71      2.71
  1872      09       15.41      1.88
  1872      10       14.55      2.00
  1872      11       15.20      2.08
  1872      12       13.06      2.46
  1873      01       13.32      2.23
  1873      02       14.88      1.85
  1873      03       14.11      2.78
  1873      04       12.50      1.95
  1873      05        9.34      3.79
  1873      06        8.81      4.21
  1873      07       11.43      3.17
  1873      08       11.69      2.66
  1873      09        9.80      1.74
  1873      10        9.56      2.79
  1873      11       10.13      3.75
  1873      12        9.86      2.49
  1874      01       11.15      1.97
  1874      02       11.35      2.51
  1874      03        9.69      1.92
  1874      04        7.70      2.91
  1874      05        9.44      2.21
  1874      06        8.74      2.01
  1874      07       11.71      2.35
  1874      08       11.19      1.90
  1874      09        7.35      2.26
  1874      10        8.07      2.71
  1874      11        7.65      1.53
  1874      12        7.33      2.91
  1875      01        5.01      2.68
  1875      02        6.19      2.79
  1875      03        8.33      1.36
  1875      04        7.56      2.04
  1875      05        4.39      2.66
  1875      06        6.82      2.01
  1875      07        4.81      2.10
  1875      08        4.92      2.95
  1875      09        2.55      1.40
  1875      10        4.83      2.23
  1875      11        4.96      3.86
  1875      12        4.11      2.43
  1876      01        4.63      3.30
  1876      02        5.14      2.54
  1876      03        7.14      3.81
  1876      04        2.54      1.38
  1876      05        3.21      1.76
  1876      06        2.40      1.07
  1876      07        5.15      2.65
  1876      08        3.94      2.27
  1876      09        4.24      2.16
  1876      10        5.25      1.84
  1876      11        4.17      2.33
  1876      12        3.78      2.32
  1877      01        6.55      3.06
  1877      02        4.09      1.61
  1877      03        4.49      2.63
  1877      04        5.24      2.70
  1877      05        6.56      1.69
  1877      06        5.23      1.75
  1877      07        3.40      1.80
  1877      08        3.51      1.79
  1877      09        5.68      1.94
  1877      10        3.27      2.51
  1877      11        5.01      2.49
  1877      12        2.52      1.06
  1878      01        2.79      1.44
  1878      02        3.31      2.41
  1878      03        3.76      2.07
  1878      04        2.02      0.09
  1878      05        3.21      2.22
  1878      06        3.39      2.12
  1878      07        2.03      0.16
  1878      08        2.00      0.00
  1878      09        3.28      1.62
  1878      10        2.28      0.88
  1878      11        2.99      1.44
  1878      12        2.12      0.67
  1879      01        2.23      0.67
  1879      02        2.15      0.54
  1879      03        2.00      0.00
  1879      04        3.47      1.84
  1879      05        2.59      1.19
  1879      06        3.06      1.81
  1879      07        3.70      1.92
  1879      08        4.28      2.50
  1879      09        3.48      1.48
  1879      10        4.63      2.43
  1879      11        4.81      2.38
  1879      12        3.74      1.71
  1880      01        6.53      2.96
  1880      02        6.90      3.21
  1880      03        6.03      2.23
  1880      04        6.12      1.96
  1880      05        6.63      2.47
  1880      06        8.22      2.07
  1880      07        6.33      2.56
  1880      08        9.66      2.82
  1880      09       11.55      2.32
  1880      10        9.37      1.64
  1880      11        7.53      2.88
  1880      12        7.69      1.86
  1881      01        8.39      2.49
  1881      02       10.47      1.43
  1881      03        9.56      4.09
  1881      04       10.21      2.10
  1881      05        9.30      2.26
  1881      06       11.12      1.88
  1881      07       12.57      1.94
  1881      08       10.22      4.31
  1881      09       10.41      1.91
  1881      10       11.48      1.89
  1881      11       10.27      3.13
  1881      12        9.58      2.78
  1882      01        9.63      1.41
  1882      02       11.91      2.10
  1882      03       11.68      1.96
  1882      04       13.87      3.09
  1882      05       10.96      3.82
  1882      06        9.55      2.00
  1882      07        9.36      2.76
  1882      08        8.94      2.26
  1882      09       10.82      2.06
  1882      10       10.77      2.90
  1882      11       13.20      1.76
  1882      12        9.01      2.66
  1883      01       11.10      2.04
  1883      02        9.56      2.78
  1883      03        8.99      3.00
  1883      04       13.03      1.74
  1883      05        7.65      2.80
  1883      06       12.49      2.17
  1883      07       12.63      3.17
  1883      08        9.59      2.22
  1883      09        9.96      3.40
  1883      10       12.84      3.37
  1883      11       13.11      2.37
  1883      12       12.24      3.17
  1884      01       13.77      1.75
  1884      02       13.46      1.31
  1884      03       13.35      2.39
  1884      04       12.60      1.14
  1884      05       11.68      1.89
  1884      06       10.30      1.26
  1884      07       10.36      2.06
  1884      08       10.68      1.79
  1884      09       11.18      2.27
  1884      10        9.81      2.08
  1884      11        8.51      2.12
  1884      12        9.90      1.11
  1885      01        8.92      3.28
  1885      02       12.15      1.90
  1885      03        9.79      3.00
  1885      04       10.60      1.85
  1885      05       12.23      2.11
  1885      06       13.21      1.22
  1885      07       11.77      1.21
  1885      08       10.05      2.00
  1885      09        8.90      2.05
  1885      10        8.59      2.86
  1885      11        7.61      2.75
  1885      12        6.24      2.75
  1886      01        7.15      3.55
  1886      02        7.17      1.79
  1886      03       10.64      2.68
  1886      04        9.02      3.30
  1886      05        7.37      3.23
  1886      06        7.14      2.49
  1886      07        7.49      2.85
  1886      08        5.51      2.31
  1886      09        6.26      2.54
  1886      10        3.97      1.77
  1886      11        2.06      0.20
  1886      12        4.72      2.45
  1887      01        4.33      2.01
  1887      02        4.89      2.29
  1887      03        2.99      1.38
  1887      04        3.60      1.76
  1887      05        6.09      2.39
  1887      06        5.59      1.35
  1887      07        6.58      2.50
  1887      08        5.92      3.39
  1887      09        3.64      1.99
  1887      10        3.49      1.75
  1887      11        3.56      1.85
  1887      12        6.23      2.31
  1888      01        4.89      1.92
  1888      02        3.63      1.84
  1888      03        3.73      2.07
  1888      04        3.12      1.58
  1888      05        3.58      2.04
  1888      06        3.63      1.77
  1888      07        2.66      1.20
  1888      08        2.61      1.26
  1888      09        4.06      1.66
  1888      10        2.46      0.98
  1888      11        4.48      1.85
  1888      12        3.55      1.70
  1889      01        2.19      0.73
  1889      02        3.94      2.15
  1889      03        3.56      1.82
  1889      04        3.06      1.40
  1889      05        2.58      1.18
  1889      06        3.49      1.90
  1889      07        4.15      1.98
  1889      08        6.09      2.72
  1889      09        3.58      1.60
  1889      10        2.49      0.85
  1889      11        2.02      0.09
  1889      12        3.56      1.93
  1890      01        3.25      1.62
  1890      02        2.14      0.56
  1890      03        3.21      1.62
  1890      04        2.34      0.74
  1890      05        3.10      1.60
  1890      06        2.30      0.76
  1890      07        4.58      2.16
  1890      08        3.78      2.32
  1890      09        5.67      2.10
  1890      10        4.34      2.43
  1890      11        4.18      2.08
  1890      12        3.75      1.86
  1891      01        4.75      2.69
  1891      02        6.37      2.54
  1891      03        4.47      1.55
  1891      04        6.32      1.85
  1891      05        9.07      2.02
  1891      06        9.77      2.44
  1891      07       10.73      2.86
  1891      08        7.86      2.79
  1891      09       10.35      2.51
  1891      10       10.22      1.99
  1891      11        9.22      1.83
  1891      12        7.93      2.38
  1892      01       11.75      2.72
  1892      02       12.24      3.09
  1892      03        9.96      2.45
  1892      04       11.68      3.17
  1892      05       12.78      2.05
  1892      06       12.44      2.41
  1892      07       12.45      2.46
  1892      08       14.44      2.20
  1892      09       11.33      1.88
  1892      10       11.89      2.69
  1892      11       11.58      1.84
  1892      12       12.40      3.39
  1893      01        9.67      2.44
  1893      02        9.74      1.31
  1893      03        9.19      1.69
  1893      04       10.66      1.78
  1893      05       10.41      1.96
  1893      06       10.78      1.76
  1893      07       10.50      2.75
  1893      08       12.83      2.55
  1893      09       10.10      1.09
  1893      10       10.21      1.31
  1893      11        9.73      2.25
  1893      12       10.76      2.99
  1894      01       10.34      1.86
  1894      02       10.50      1.32
  1894      03        8.11      1.88
  1894      04       10.23      1.87
  1894      05       11.48      1.55
  1894      06       11.31      1.77
  1894      07       11.69      1.92
  1894      08        9.41      2.10
  1894      09        9.12      2.06
  1894      10        9.70      2.42
  1894      11        8.57      1.25
  1894      12        8.79      1.56
  1895      01        8.91      2.07
  1895      02        9.30      1.62
  1895      03        8.94      0.95
  1895      04       10.02      1.26
  1895      05        9.11      2.50
  1895      06        9.68      0.91
  1895      07        7.67      2.13
  1895      08        9.33      2.07
  1895      09        8.62      1.57
  1895      10        9.06      2.82
  1895      11        7.54      2.41
  1895      12        9.53      1.69
  1896      01        5.94      1.76
  1896      02        8.44      2.17
  1896      03        8.05      2.08
  1896      04        7.09      2.86
  1896      05        5.86      1.58
  1896      06        7.85      1.78
  1896      07        7.52      1.78
  1896      08        5.80      1.64
  1896      09        8.61      2.67
  1896      10        5.90      1.86
  1896      11        6.84      1.90
  1896      12        7.42      1.17
  1897      01        7.21      1.38
  1897      02        5.80      2.27
  1897      03        5.99      1.70
  1897      04        5.88      2.61
  1897      05        4.88      1.85
  1897      06        3.79      1.16
  1897      07        6.00      0.81
  1897      08        5.23      1.25
  1897      09        7.77      1.87
  1897      10        4.16      1.61
  1897      11        3.31      1.08
  1897      12        6.27      2.22
  1898      01        6.10      1.73
  1898      02        6.55      2.38
  1898      03        6.39      3.26
  1898      04        4.16      1.78
  1898      05        5.74      1.17
  1898      06        5.24      1.47
  1898      07        3.38      1.39
  1898      08        6.09      2.21
  1898      09        6.54      1.86
  1898      10        6.52      1.76
  1898      11        5.99      2.25
  1898      12        3.96      1.40
  1899      01        4.85      1.58
  1899      02        3.40      1.43
  1899      03        4.63      1.77
  1899      04        4.27      0.86
  1899      05        3.20      0.93
  1899      06        4.99      1.61
  1899      07        4.07      1.59
  1899      08        2.46      0.94
  1899      09        3.19      1.53
  1899      10        3.72      2.34
  1899      11        3.21      1.18
  1899      12        3.61      1.41
  1900      01        3.45      1.36
  1900      02        3.84      2.28
  1900      03        3.30      1.49
  1900      04        4.22      1.93
  1900      05        4.16      2.02
  1900      06        3.81      1.69
  1900      07        3.29      1.40
  1900      08        2.65      1.20
  1900      09        3.28      1.38
  1900      10        3.96      1.58
  1900      11        2.71      0.90
  1900      12        2.03      0.18
  1901      01        2.03      0.18
